agent,seed,step,value
hace_001,0,800,-33.070796966552734
hace_001,0,1600,-29.876338958740234
hace_001,0,2400,-27.939523696899414
hace_001,0,3200,-28.32184600830078
hace_001,0,4000,-28.658294677734375
hace_001,0,4800,-29.37193489074707
hace_001,0,5600,-28.625858306884766
hace_001,0,6400,3.0989744663238525
hace_001,0,7200,0.952075719833374
hace_001,0,8000,-2.0586793422698975
hace_001,0,8800,5.285949230194092
hace_001,0,9600,2.5603322982788086
hace_001,0,10400,-4.494905471801758
hace_001,0,11200,-9.286957740783691
hace_001,0,12000,-12.588666915893555
hace_001,0,12800,-13.313124656677246
hace_001,0,13600,-13.94297981262207
hace_001,0,14400,-14.338357925415039
hace_001,0,15200,-14.621058464050293
hace_001,0,16000,-14.921515464782715
hace_001,0,16800,27.354873657226562
hace_001,0,17600,22.255266189575195
hace_001,0,18400,17.364727020263672
hace_001,0,19200,12.871413230895996
hace_001,0,20000,9.624491691589355
hace_001,0,20800,9.039884567260742
hace_001,0,21600,8.446582794189453
hace_001,0,22400,35.92095947265625
hace_001,0,23200,325.2303771972656
hace_001,0,24000,473.6666259765625
hace_001,0,24800,657.719970703125
hace_001,0,25600,879.1184692382812
hace_001,0,26400,1043.651123046875
hace_001,0,27200,1259.6202392578125
hace_001,0,28000,1426.4404296875
hace_001,0,28800,1582.2706298828125
hace_001,0,29600,1720.562744140625
hace_001,0,30400,1777.4925537109375
hace_001,0,31200,1876.80615234375
hace_001,0,32000,2058.94140625
hace_001,0,32800,2358.3671875
hace_001,0,33600,2484.407958984375
hace_001,0,34400,2658.068603515625
hace_001,0,35200,2808.928466796875
hace_001,0,36000,2963.256591796875
hace_001,0,36800,3097.888671875
hace_001,0,37600,3220.552001953125
hace_001,0,38400,3405.89013671875
hace_001,0,39200,3687.291015625
hace_001,0,40000,3727.318359375
hace_001,0,40800,3739.775634765625
hace_001,0,41600,3750.864501953125
hace_001,0,42400,3741.277099609375
hace_001,0,43200,3546.59912109375
hace_001,0,44000,3562.18603515625
hace_001,0,44800,3709.652587890625
hace_001,0,45600,3573.85302734375
hace_001,0,46400,3504.64697265625
hace_001,0,47200,3396.21533203125
hace_001,0,48000,3301.532470703125
hace_001,0,48800,3159.104248046875
hace_001,0,49600,3096.1015625
hace_001,0,50400,3764.53662109375
hace_001,0,51200,4073.435546875
hace_001,0,52000,4214.18603515625
hace_001,0,52800,4558.6337890625
hace_001,0,53600,5307.7392578125
hace_001,0,54400,5776.8857421875
hace_001,0,55200,6235.341796875
hace_001,0,56000,6657.31787109375
hace_001,0,56800,6842.3076171875
hace_001,0,57600,7192.53515625
hace_001,0,58400,7608.19580078125
hace_001,0,59200,8125.78955078125
hace_001,0,60000,9163.810546875
hace_001,0,60800,10015.373046875
hace_001,0,61600,11197.2802734375
hace_001,0,62400,13170.2275390625
hace_001,0,63200,13567.8193359375
hace_001,0,64000,14074.673828125
hace_001,0,64800,13802.626953125
hace_001,0,65600,14905.517578125
hace_001,0,66400,15792.0400390625
hace_001,0,67200,17065.36328125
hace_001,0,68000,18832.744140625
hace_001,0,68800,19660.048828125
hace_001,0,69600,20885.21484375
hace_001,0,70400,20983.7265625
hace_001,0,71200,23537.798828125
hace_001,0,72000,26354.357421875
hace_001,0,72800,27716.4765625
hace_001,0,73600,29034.33984375
hace_001,0,74400,32086.9609375
hace_001,0,75200,33563.19140625
hace_001,0,76000,35372.88671875
hace_001,0,76800,38331.56640625
hace_001,0,77600,41228.66015625
hace_001,0,78400,43205.62109375
hace_001,0,79200,44007.328125
hace_001,0,80000,45175.875
hace_001,0,80800,47517.36328125
hace_001,0,81600,49849.5546875
hace_001,0,82400,53121.5390625
hace_001,0,83200,53567.828125
hace_001,0,84000,53871.69921875
hace_001,0,84800,54036.0
hace_001,0,85600,52846.91015625
hace_001,0,86400,51954.9296875
hace_001,0,87200,53657.23046875
hace_001,0,88000,55359.4375
hace_001,0,88800,58764.3125
hace_001,0,89600,63084.484375
hace_001,0,90400,67700.0234375
hace_001,0,91200,69913.484375
hace_001,0,92000,72038.8359375
hace_001,0,92800,75320.90625
hace_001,0,93600,77982.7578125
hace_001,0,94400,81137.796875
hace_001,0,95200,80635.6328125
hace_001,0,96000,79847.2578125
hace_001,0,96800,81112.75
hace_001,0,97600,82849.4765625
hace_001,0,98400,85333.015625
hace_001,0,99200,86966.984375
hace_001,0,100000,91344.546875
hace_001,0,100800,91942.5703125
hace_001,0,101600,90396.8671875
hace_001,0,102400,88009.484375
hace_001,0,103200,91066.34375
hace_001,0,104000,93741.296875
hace_001,0,104800,96838.921875
hace_001,0,105600,99381.6171875
hace_001,0,106400,101965.265625
hace_001,0,107200,101151.8515625
hace_001,0,108000,100500.890625
hace_001,0,108800,100690.4296875
hace_001,0,109600,98420.046875
hace_001,0,110400,98233.21875
hace_001,0,111200,97944.890625
hace_001,0,112000,98554.359375
hace_001,0,112800,98623.2421875
hace_001,0,113600,98948.453125
hace_001,0,114400,97490.375
hace_001,0,115200,100601.5703125
hace_001,0,116000,103589.6953125
hace_001,0,116800,103293.5234375
hace_001,0,117600,102704.5078125
hace_001,0,118400,101951.4296875
hace_001,0,119200,102867.3359375
hace_001,0,120000,100247.2578125
hace_001,0,120800,100511.0859375
hace_001,0,121600,102577.4296875
hace_001,0,122400,103643.4375
hace_001,0,123200,103611.515625
hace_001,0,124000,103810.296875
hace_001,0,124800,104932.2109375
hace_001,0,125600,106653.015625
hace_001,0,126400,108289.4921875
hace_001,0,127200,110697.484375
hace_001,0,128000,113021.7890625
hace_001,0,128800,113527.96875
hace_001,0,129600,115030.6015625
hace_001,0,130400,115040.5
hace_001,0,131200,115743.3046875
hace_001,0,132000,115205.4609375
hace_001,0,132800,115452.7109375
hace_001,0,133600,115560.765625
hace_001,0,134400,113364.3515625
hace_001,0,135200,111912.984375
hace_001,0,136000,113279.828125
hace_001,0,136800,112183.25
hace_001,0,137600,112179.25
hace_001,0,138400,112119.21875
hace_001,0,139200,111757.3984375
