agent,seed,step,value
vanilla,0,800,9972.8759765625
vanilla,0,1600,6748.3759765625
vanilla,0,2400,6033.50732421875
vanilla,0,3200,6712.0673828125
vanilla,0,4000,7618.78857421875
vanilla,0,4800,9127.431640625
vanilla,0,5600,9963.71875
vanilla,0,6400,11279.705078125
vanilla,0,7200,19021.41015625
vanilla,0,8000,24276.4765625
vanilla,0,8800,29288.16015625
vanilla,0,9600,33232.015625
vanilla,0,10400,33863.03125
vanilla,0,11200,35580.01171875
vanilla,0,12000,36756.66796875
vanilla,0,12800,39773.7265625
vanilla,0,13600,44268.3671875
vanilla,0,14400,49609.54296875
vanilla,0,15200,53309.296875
vanilla,0,16000,54817.58984375
vanilla,0,16800,55003.96484375
vanilla,0,17600,56196.6953125
vanilla,0,18400,60101.40234375
vanilla,0,19200,64185.19921875
vanilla,0,20000,68252.1796875
vanilla,0,20800,73894.421875
vanilla,0,21600,79522.3046875
vanilla,0,22400,85043.78125
vanilla,0,23200,90354.109375
vanilla,0,24000,95226.1640625
vanilla,0,24800,99656.265625
vanilla,0,25600,102972.703125
vanilla,0,26400,105581.046875
vanilla,0,27200,105836.015625
vanilla,0,28000,106454.8671875
vanilla,0,28800,106502.2265625
vanilla,0,29600,107490.5390625
vanilla,0,30400,111878.9765625
vanilla,0,31200,115741.6640625
vanilla,0,32000,120008.9921875
vanilla,0,32800,122925.3125
vanilla,0,33600,124486.734375
vanilla,0,34400,125133.453125
vanilla,0,35200,126484.0703125
vanilla,0,36000,129095.8984375
vanilla,0,36800,132615.328125
vanilla,0,37600,135228.59375
vanilla,0,38400,135311.65625
vanilla,0,39200,134952.28125
vanilla,0,40000,134412.671875
vanilla,0,40800,134410.078125
vanilla,0,41600,134590.578125
vanilla,0,42400,134941.75
vanilla,0,43200,135536.109375
vanilla,0,44000,136531.9375
vanilla,0,44800,137707.0
vanilla,0,45600,140110.9375
vanilla,0,46400,143120.90625
vanilla,0,47200,146087.375
vanilla,0,48000,149121.65625
vanilla,0,48800,152319.125
vanilla,0,49600,154695.6875
vanilla,0,50400,155069.734375
vanilla,0,51200,155298.296875
vanilla,0,52000,155279.953125
vanilla,0,52800,155346.75
vanilla,0,53600,155544.375
vanilla,0,54400,155640.828125
vanilla,0,55200,155877.375
vanilla,0,56000,156299.625
vanilla,0,56800,156758.15625
vanilla,0,57600,157287.59375
vanilla,0,58400,157770.78125
vanilla,0,59200,158189.765625
vanilla,0,60000,158605.703125
vanilla,0,60800,159229.265625
vanilla,0,61600,159845.109375
vanilla,0,62400,160243.296875
vanilla,0,63200,160306.5625
vanilla,0,64000,160255.375
vanilla,0,64800,160235.34375
vanilla,0,65600,160158.046875
vanilla,0,66400,159984.71875
vanilla,0,67200,159761.140625
vanilla,0,68000,159501.65625
vanilla,0,68800,159348.390625
vanilla,0,69600,159131.546875
vanilla,0,70400,158931.140625
vanilla,0,71200,158819.3125
vanilla,0,72000,158806.203125
vanilla,0,72800,158791.359375
vanilla,0,73600,158713.859375
