agent,seed,step,value
vanilla,0,800,12442.240234375
vanilla,0,1600,11548.7978515625
vanilla,0,2400,12154.5478515625
vanilla,0,3200,13020.8203125
vanilla,0,4000,13367.537109375
vanilla,0,4800,13601.76953125
vanilla,0,5600,13944.130859375
vanilla,0,6400,14154.3740234375
vanilla,0,7200,19155.900390625
vanilla,0,8000,26835.4453125
vanilla,0,8800,38312.1328125
vanilla,0,9600,52809.30859375
vanilla,0,10400,64901.3671875
vanilla,0,11200,75521.375
vanilla,0,12000,84792.0859375
vanilla,0,12800,93032.875
vanilla,0,13600,100255.46875
vanilla,0,14400,106658.75
vanilla,0,15200,112644.96875
vanilla,0,16000,118113.203125
vanilla,0,16800,123055.0078125
vanilla,0,17600,127519.7109375
vanilla,0,18400,131402.0
vanilla,0,19200,134824.421875
vanilla,0,20000,138022.640625
vanilla,0,20800,146279.234375
vanilla,0,21600,154709.078125
vanilla,0,22400,163131.25
vanilla,0,23200,171487.640625
vanilla,0,24000,179869.328125
vanilla,0,24800,188256.515625
vanilla,0,25600,196484.5625
vanilla,0,26400,204722.09375
vanilla,0,27200,211216.890625
vanilla,0,28000,216242.734375
vanilla,0,28800,219021.953125
vanilla,0,29600,219443.328125
vanilla,0,30400,219964.65625
vanilla,0,31200,220304.59375
vanilla,0,32000,220642.640625
vanilla,0,32800,220832.421875
vanilla,0,33600,221094.765625
vanilla,0,34400,221346.1875
vanilla,0,35200,221338.390625
vanilla,0,36000,221276.3125
vanilla,0,36800,221231.390625
vanilla,0,37600,221195.953125
vanilla,0,38400,221357.28125
vanilla,0,39200,221709.25
vanilla,0,40000,221996.453125
vanilla,0,40800,222125.65625
vanilla,0,41600,222135.40625
vanilla,0,42400,222070.90625
vanilla,0,43200,221931.71875
vanilla,0,44000,221884.3125
vanilla,0,44800,221807.1875
vanilla,0,45600,221842.96875
vanilla,0,46400,221907.796875
vanilla,0,47200,221929.296875
vanilla,0,48000,221992.765625
vanilla,0,48800,222027.0625
vanilla,0,49600,222036.078125
