agent,task,return_mean,return_std,success_mean,success_std,solved_rate,length_mean,length_std,training_time_s
vanilla,faucet-close-v1,-32.49431879405013,7.105427357601002e-15,0.0,0.0,0.0,200.0,0.0,3716.3519611358643
vanilla,hammer-v1,-43.009795158465415,0.0,0.0,0.0,0.0,200.0,0.0,3716.3519611358643
vanilla,handle-press-side-v1,-18.43234246323419,0.0,0.0,0.0,0.0,200.0,0.0,3716.3519611358643
vanilla,peg-unplug-side-v1,-16.37986884513033,3.552713678800501e-15,0.0,0.0,0.0,200.0,0.0,3716.3519611358643
vanilla,push-back-v1,-57.703594966249526,7.105427357601002e-15,0.0,0.0,0.0,200.0,0.0,3716.3519611358643
vanilla,push-v1,-37.43394444764051,7.105427357601002e-15,0.0,0.0,0.0,200.0,0.0,3716.3519611358643
vanilla,push-wall-v1,-47.9061104061333,7.105427357601002e-15,0.0,0.0,0.0,200.0,0.0,3716.3519611358643
vanilla,shelf-place-v1,-19.489484922093222,0.0,0.0,0.0,0.0,200.0,0.0,3716.3519611358643
vanilla,stick-pull-v1,-35.18875478607681,0.0,0.0,0.0,0.0,200.0,0.0,3716.3519611358643
vanilla,window-close-v1,-30.95953110736396,0.0,0.0,0.0,0.0,200.0,0.0,3716.3519611358643
hace_001,faucet-close-v1,-30.55464444449894,3.552713678800501e-15,0.0,0.0,0.0,200.0,0.0,3662.7739222049713
hace_001,hammer-v1,-35.39010417321388,7.105427357601002e-15,0.0,0.0,0.0,200.0,0.0,3662.7739222049713
hace_001,handle-press-side-v1,36266.021952914554,0.0,0.0,0.0,0.0,200.0,0.0,3662.7739222049713
hace_001,peg-unplug-side-v1,20756.14246371242,3.637978807091713e-12,0.0,0.0,0.0,200.0,0.0,3662.7739222049713
hace_001,push-back-v1,-71.10212609759802,0.0,0.0,0.0,0.0,200.0,0.0,3662.7739222049713
hace_001,push-v1,-20.001167347948304,0.0,0.0,0.0,0.0,200.0,0.0,3662.7739222049713
hace_001,push-wall-v1,-40.38674857816714,7.105427357601002e-15,0.0,0.0,0.0,200.0,0.0,3662.7739222049713
hace_001,shelf-place-v1,-65.88756312325924,1.4210854715202004e-14,0.0,0.0,0.0,200.0,0.0,3662.7739222049713
hace_001,stick-pull-v1,-28.47178872352926,0.0,0.0,0.0,0.0,200.0,0.0,3662.7739222049713
hace_001,window-close-v1,-35.03232092411655,7.105427357601002e-15,0.0,0.0,0.0,200.0,0.0,3662.7739222049713
hace_003,faucet-close-v1,-26.94150964441468,0.0,0.0,0.0,0.0,200.0,0.0,3661.5560898780823
hace_003,hammer-v1,-28.512547474962638,7.105427357601002e-15,0.0,0.0,0.0,200.0,0.0,3661.5560898780823
hace_003,handle-press-side-v1,-17.847366808643763,3.552713678800501e-15,0.0,0.0,0.0,200.0,0.0,3661.5560898780823
hace_003,peg-unplug-side-v1,21341.650400203267,3.637978807091713e-12,0.0,0.0,0.0,200.0,0.0,3661.5560898780823
hace_003,push-back-v1,-84.01987788338292,1.4210854715202004e-14,0.0,0.0,0.0,200.0,0.0,3661.5560898780823
hace_003,push-v1,-13.10937012688171,1.7763568394002505e-15,0.0,0.0,0.0,200.0,0.0,3661.5560898780823
hace_003,push-wall-v1,-32.67605114877052,0.0,0.0,0.0,0.0,200.0,0.0,3661.5560898780823
hace_003,shelf-place-v1,-73.33862011478445,0.0,0.0,0.0,0.0,200.0,0.0,3661.5560898780823
hace_003,stick-pull-v1,-19.180510230206348,0.0,0.0,0.0,0.0,200.0,0.0,3661.5560898780823
hace_003,window-close-v1,-31.58505960828982,3.552713678800501e-15,0.0,0.0,0.0,200.0,0.0,3661.5560898780823
hace_01,faucet-close-v1,-31.78464273486294,3.552713678800501e-15,0.0,0.0,0.0,200.0,0.0,3659.147050380707
hace_01,hammer-v1,-41.55274771517064,0.0,0.0,0.0,0.0,200.0,0.0,3659.147050380707
hace_01,handle-press-side-v1,-19.67005828823816,3.552713678800501e-15,0.0,0.0,0.0,200.0,0.0,3659.147050380707
hace_01,peg-unplug-side-v1,-17.081819092902368,3.552713678800501e-15,0.0,0.0,0.0,200.0,0.0,3659.147050380707
hace_01,push-back-v1,-55.48255729326438,0.0,0.0,0.0,0.0,200.0,0.0,3659.147050380707
hace_01,push-v1,-37.32800202779593,7.105427357601002e-15,0.0,0.0,0.0,200.0,0.0,3659.147050380707
hace_01,push-wall-v1,-46.351957071573494,7.105427357601002e-15,0.0,0.0,0.0,200.0,0.0,3659.147050380707
hace_01,shelf-place-v1,-19.94379516967725,0.0,0.0,0.0,0.0,200.0,0.0,3659.147050380707
hace_01,stick-pull-v1,-32.07590823266383,0.0,0.0,0.0,0.0,200.0,0.0,3659.147050380707
hace_01,window-close-v1,-29.761453569290115,0.0,0.0,0.0,0.0,200.0,0.0,3659.147050380707
