agent,seed_index,step,reward,tb_run
vanilla,0,2048,-40.82533645629883,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,4096,-35.104515075683594,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,6144,-29.412311553955078,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,8192,-26.321107864379883,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,10240,-24.2559871673584,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,12288,-21.871112823486328,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,14336,-20.482824325561523,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,16384,-20.248531341552734,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,18432,-19.137834548950195,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,20480,-18.866376876831055,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,22528,-13.496610641479492,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,24576,-11.664990425109863,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,26624,-10.906692504882812,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,28672,-10.63362979888916,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,30720,-10.11413288116455,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,32768,-13.150229454040527,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,34816,-15.281800270080566,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,36864,-15.944536209106445,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,38912,-15.41965389251709,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,40960,77.99559020996094,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,43008,156.29287719726562,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,45056,178.4083251953125,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,47104,186.34384155273438,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,49152,235.15298461914062,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,51200,366.23577880859375,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,53248,414.99847412109375,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
