agent,seed_index,step,reward,tb_run
vanilla,0,2048,21295.77734375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,4096,31463.357421875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,6144,31817.634765625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,8192,39187.078125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,10240,43964.328125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,12288,45367.59375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,14336,47399.37109375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,16384,47940.796875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,18432,51515.75390625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,20480,53579.4375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,22528,58508.1875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,24576,63484.41796875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,26624,67140.1796875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,28672,67474.2734375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,30720,69942.5546875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,32768,71519.03125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,34816,74243.1484375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,36864,76795.234375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,38912,75699.0390625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,40960,76670.640625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,43008,76035.0546875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,45056,75215.6953125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,47104,75977.8125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,49152,75610.265625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,51200,76148.6015625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,53248,75557.9140625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,55296,73694.5234375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,57344,73606.3515625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,59392,74413.7421875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,61440,74238.96875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,63488,73866.75,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,65536,72841.8203125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,67584,73395.71875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,69632,73622.5390625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,71680,74164.609375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,73728,74362.296875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,75776,75171.0703125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,77824,75562.2890625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,79872,74079.6328125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,81920,74114.9140625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,83968,74212.7109375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,86016,74438.1953125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,88064,72966.4765625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,90112,72047.1796875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,92160,71187.859375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,94208,71156.8203125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,96256,70978.2109375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,98304,70889.7734375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,100352,70399.7265625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,102400,70414.9140625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,104448,69937.40625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,106496,71517.875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,108544,71490.546875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,110592,70977.2265625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,112640,70556.2109375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,114688,71187.9609375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,116736,70135.546875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,118784,68808.9453125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,120832,69359.921875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,122880,69045.7421875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,124928,70701.7578125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,126976,70273.796875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,129024,69636.1796875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,131072,69457.3984375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,133120,70078.453125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,135168,69812.3359375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,137216,71419.9765625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,139264,71416.9453125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,141312,71086.328125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,143360,71818.3828125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,145408,69864.9609375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,147456,70768.8828125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,149504,71632.265625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,151552,71171.921875,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,153600,70729.7578125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,155648,71210.109375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,157696,70227.0390625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,159744,70474.125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,161792,70635.984375,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,163840,70905.4140625,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
vanilla,0,165888,71069.5703125,experiments/cw/results/cw_hace/vanilla/seed_0/tb_logs/PPO_7
